algorithm,seed,energy_kwh_mean,violation_pct,max_temp_c
ppo,0,35.54999999999999,0.0,23.981045255362982
ppo,1,35.54999999999999,0.0,23.981045255362982
ppo,2,6.472092335019259,0.0,25.845778750999365
mappo,0,19.153132143989207,0.0,23.981045255362982
mappo,1,34.9509854286909,0.0,23.981045255362982
mappo,2,35.54999999999999,0.0,23.981045255362982
